what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1380183720336
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1380183720336
os,sysinfo,,,"win32",1380183720338
arch,sysinfo,,,"x86_64",1380183720338
ws,sysinfo,,,"win32",1380183720338
locale,sysinfo,,,"en_GB",1380183720338
processors,sysinfo,,,"8",1380183720338
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1380183720338
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1380183720338
java.specification.name,sysinfo,,,"Java Platform API Specification",1380183720338
java.specification.vendor,sysinfo,,,"Oracle Corporation",1380183720338
java.specification.version,sysinfo,,,"1.7",1380183720338
java.vendor,sysinfo,,,"Oracle Corporation",1380183720338
java.version,sysinfo,,,"1.7.0_25",1380183720338
java.vm.info,sysinfo,,,"mixed mode",1380183720338
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1380183720338
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1380183720338
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1380183720338
java.vm.specification.version,sysinfo,,,"1.7",1380183720338
java.vm.vendor,sysinfo,,,"Oracle Corporation",1380183720338
java.vm.version,sysinfo,,,"23.25-b01",1380183720338
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1380183720341
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1380183721509
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1380183733406
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.100.v20110519,"org.eclipse.equinox.p2.artifact.repository",1380183733744
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1380183733782
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.0.v20110511,"org.eclipse.equinox.p2.touchpoint.eclipse",1380183733788
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1380183737793
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1380183737804
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1380183738331
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380183738332
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380183743162
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380183743202
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1380183769707
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380183777820
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1380183780649
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1380183780670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1380183795734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1380183795951
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1380183796144
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1380183800513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380183812094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380183813324
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380183813341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380183817148
started,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1380183818130
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1380183818136
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1380183818179
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1380183818198
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1380183818299
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1380183818318
started,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1380183818361
